epoch,total_memory_bytes,occupied_memory_bytes,free_memory_bytes,disk_size_bytes,cpu_usage
1720265097559,150994944,94556304,1720265097559,507904,0.0021403150907873224
1720265123657,150994944,73007568,1720265123657,507904,0.053151784247117806
1720265124500,150994944,93847368,1720265124500,507904,0.053151784247117806
1720265124601,150994944,100393000,1720265124601,507904,0.053151784247117806
1720265124674,150994944,100552752,1720265124674,507904,0.053151784247117806
1720265124741,150994944,100711008,1720265124741,507904,0.053151784247117806
1720265124811,150994944,101031536,1720265124811,507904,0.053151784247117806
1720265124878,150994944,101228992,1720265124878,507904,0.053151784247117806
1720265124954,150994944,101385216,1720265124954,507904,0.06351064787082918
1720265125039,150994944,101543760,1720265125039,507904,0.06351064787082918
1720265125100,150994944,101705168,1720265125100,507904,0.06351064787082918
1720265125195,150994944,101866712,1720265125195,507904,0.06351064787082918
1720265125261,150994944,102028376,1720265125261,507904,0.06351064787082918
1720265125337,150994944,102196120,1720265125337,507904,0.06351064787082918
1720265125415,150994944,102375208,1720265125415,507904,0.06351064787082918
1720265125489,150994944,102538120,1720265125489,507904,0.05042169362308369
1720265125577,150994944,102779272,1720265125577,507904,0.05042169362308369
1720265125641,150994944,102945088,1720265125641,507904,0.05042169362308369
1720265125713,150994944,103107192,1720265125713,507904,0.05042169362308369
1720265125788,150994944,103285232,1720265125788,507904,0.05042169362308369
1720265125857,150994944,103610192,1720265125857,507904,0.05042169362308369
1720265125933,150994944,103793824,1720265125933,507904,0.05042169362308369
1720265126005,150994944,103984616,1720265126005,507904,0.06160751655073611
1720265126080,150994944,104148352,1720265126080,507904,0.06160751655073611
1720265126156,150994944,104350160,1720265126156,507904,0.06160751655073611
1720265126225,150994944,104547688,1720265126225,507904,0.06160751655073611
1720265126302,150994944,104722880,1720265126302,507904,0.06160751655073611
1720265126377,150994944,104887088,1720265126377,507904,0.06160751655073611
1720265126455,150994944,105054424,1720265126455,507904,0.06160751655073611
1720265126547,150994944,105226104,1720265126547,507904,0.05822144829118615
1720265126634,150994944,105391224,1720265126634,507904,0.05822144829118615
1720265126728,150994944,105571024,1720265126728,507904,0.05822144829118615
1720265126857,150994944,105885408,1720265126857,507904,0.05822144829118615
1720265126940,150994944,106082272,1720265126940,507904,0.05822144829118615
1720265127023,150994944,106239816,1720265127023,507904,0.05822144829118615
1720265127110,150994944,106400792,1720265127110,507904,0.055127167926212195
1720265127175,150994944,106563968,1720265127175,507904,0.055127167926212195
1720265127245,150994944,106741184,1720265127245,507904,0.055127167926212195
1720265127324,150994944,106918544,1720265127324,507904,0.055127167926212195
1720265127400,150994944,107086408,1720265127400,507904,0.055127167926212195
1720265127492,150994944,107248072,1720265127492,507904,0.055127167926212195
1720265127570,150994944,107385216,1720265127570,507904,0.055127167926212195
1720265127634,150994944,107534080,1720265127634,507904,0.07090572171814286
1720265127714,150994944,107699328,1720265127714,507904,0.07090572171814286
1720265127788,150994944,107829576,1720265127788,507904,0.07090572171814286
1720265127858,150994944,107971760,1720265127858,507904,0.07090572171814286
1720265127919,150994944,108280384,1720265127919,507904,0.07090572171814286
1720265127997,150994944,108427592,1720265127997,507904,0.07090572171814286
1720265128073,150994944,108574264,1720265128073,507904,0.07090572171814286
1720265128150,150994944,108745096,1720265128150,507904,0.06531402565525281
1720265128242,150994944,108902416,1720265128242,507904,0.06531402565525281
1720265128339,150994944,109070608,1720265128339,507904,0.06531402565525281
1720265128440,150994944,109239584,1720265128440,507904,0.06531402565525281
1720265128514,150994944,109389160,1720265128514,507904,0.06531402565525281
1720265128592,150994944,109561064,1720265128592,507904,0.06531402565525281
1720265128685,150994944,109718864,1720265128685,507904,0.05622942726610341
1720265128774,150994944,109870680,1720265128774,507904,0.05622942726610341
1720265128844,150994944,110027528,1720265128844,507904,0.05622942726610341
1720265128928,150994944,110331000,1720265128928,507904,0.05622942726610341
1720265129004,150994944,110491400,1720265129004,507904,0.05622942726610341
1720265129080,150994944,110634640,1720265129080,507904,0.05622942726610341
1720265129156,150994944,110767184,1720265129156,507904,0.05622942726610341
1720265129218,150994944,110925992,1720265129218,507904,0.06324547582905206
1720265129325,150994944,111072752,1720265129325,507904,0.06324547582905206
1720265129422,150994944,111211400,1720265129422,507904,0.06324547582905206
1720265129512,150994944,111369336,1720265129512,507904,0.06324547582905206
1720265129594,150994944,111504472,1720265129594,507904,0.06324547582905206
1720265129686,150994944,111652544,1720265129686,507904,0.06324547582905206
1720265129780,150994944,111800888,1720265129780,507904,0.05694556386768439
1720265129870,150994944,111938264,1720265129870,507904,0.05694556386768439
1720265129963,150994944,112163968,1720265129963,507904,0.05694556386768439
1720265130068,150994944,112306968,1720265130068,507904,0.05694556386768439
1720265130148,150994944,112460048,1720265130148,507904,0.05694556386768439
1720265130224,150994944,112603856,1720265130224,507904,0.05694556386768439
1720265130312,150994944,112740560,1720265130312,507904,0.060790871930576466
1720265130414,150994944,112977248,1720265130414,507904,0.060790871930576466
1720265130504,150994944,113106608,1720265130504,507904,0.060790871930576466
1720265130586,150994944,113262928,1720265130586,507904,0.060790871930576466
1720265130677,150994944,113408432,1720265130677,507904,0.060790871930576466
1720265130780,150994944,113522976,1720265130780,507904,0.060790871930576466
1720265130877,150994944,113661240,1720265130877,507904,0.061886754522607
1720265130981,150994944,113909592,1720265130981,507904,0.061886754522607
1720265131064,150994944,114058528,1720265131064,507904,0.061886754522607
1720265131155,150994944,114222040,1720265131155,507904,0.061886754522607
1720265131245,150994944,114358688,1720265131245,507904,0.061886754522607
1720265131317,150994944,114501336,1720265131317,507904,0.061886754522607
1720265131392,150994944,114724184,1720265131392,507904,0.054720310298054714
1720265131482,150994944,114875416,1720265131482,507904,0.054720310298054714
1720265131559,150994944,114990048,1720265131559,507904,0.054720310298054714
1720265131636,150994944,115150040,1720265131636,507904,0.054720310298054714
1720265131712,150994944,115311496,1720265131712,507904,0.054720310298054714
1720265131788,150994944,115459120,1720265131788,507904,0.054720310298054714
1720265131864,150994944,115615992,1720265131864,507904,0.054720310298054714
1720265131941,150994944,115748832,1720265131941,507904,0.05842144296454922
1720265132024,150994944,115966280,1720265132024,507904,0.05842144296454922
1720265132105,150994944,116127232,1720265132105,507904,0.05842144296454922
1720265132184,150994944,116266584,1720265132184,507904,0.05842144296454922
1720265132260,150994944,116401840,1720265132260,507904,0.05842144296454922
1720265132321,150994944,116579920,1720265132321,507904,0.05842144296454922
1720265132417,150994944,116784776,1720265132417,507904,0.05842144296454922
1720265132489,150994944,116937752,1720265132489,507904,0.06271036723314542
1720265132564,150994944,117067680,1720265132564,507904,0.06271036723314542
1720265132642,150994944,117222440,1720265132642,507904,0.06271036723314542
1720265132702,150994944,117371568,1720265132702,507904,0.06271036723314542
1720265132788,150994944,117549160,1720265132788,507904,0.06271036723314542
1720265132848,150994944,117731304,1720265132848,507904,0.06271036723314542
1720265132925,150994944,69612688,1720265132925,507904,0.06271036723314542
1720265133003,150994944,69899680,1720265133003,507904,0.05639662573436842
1720265133095,150994944,70068984,1720265133095,507904,0.05639662573436842
1720265133168,150994944,70222128,1720265133168,507904,0.05639662573436842
1720265133260,150994944,70376344,1720265133260,507904,0.05639662573436842
1720265133337,150994944,70534744,1720265133337,507904,0.05639662573436842
1720265133418,150994944,70728592,1720265133418,507904,0.05639662573436842
1720265133490,150994944,70882808,1720265133490,507904,0.05639662573436842
1720265133563,150994944,71039248,1720265133563,507904,0.060241708936490675
1720265133651,150994944,71195536,1720265133651,507904,0.060241708936490675
1720265133725,150994944,71347608,1720265133725,507904,0.060241708936490675
1720265133801,150994944,71501776,1720265133801,507904,0.060241708936490675
1720265133884,150994944,64943944,1720265133884,507904,0.060241708936490675
1720265133954,150994944,65126704,1720265133954,507904,0.060241708936490675
1720265134018,150994944,65438288,1720265134018,507904,0.060241708936490675
1720265134084,150994944,65593968,1720265134084,507904,0.06026446554482837
1720265134169,150994944,65749376,1720265134169,507904,0.06026446554482837
1720265134246,150994944,65905048,1720265134246,507904,0.06026446554482837
1720265134318,150994944,66058088,1720265134318,507904,0.06026446554482837
1720265134400,150994944,66229216,1720265134400,507904,0.06026446554482837
1720265134478,150994944,66383424,1720265134478,507904,0.06026446554482837
1720265134543,150994944,66547488,1720265134543,507904,0.06026446554482837
1720265134619,150994944,66713224,1720265134619,507904,0.06251774503675124
1720265134691,150994944,66877560,1720265134691,507904,0.06251774503675124
1720265134766,150994944,67051512,1720265134766,507904,0.06251774503675124
